wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
1016.00,54.75,54.875,58.125,55.699999999999996,59.5,53.160000000000004
1017.00,54.825,54.925,58.224999999999994,55.76666666666667,59.45,53.14
1018.00,54.825,54.775000000000006,58.150000000000006,55.86666666666667,59.35,53.06
1019.00,54.725,54.4,58.099999999999994,55.76666666666667,59.225,53.11999999999999
1020.00,54.6,54.275,58.05,55.73333333333333,59.1,53.02
1021.00,54.425,54.199999999999996,57.825,55.46666666666666,58.975,52.86
1022.00,54.35,53.974999999999994,57.7,55.23333333333333,58.9,52.760000000000005
1023.00,54.175000000000004,53.825,57.375,54.9,58.3,52.519999999999996
1024.00,54.025,53.775,57.1,54.79999999999999,58.24999999999999,52.459999999999994
1025.00,53.925,53.55,56.825,54.633333333333326,58.199999999999996,52.220000000000006
1026.00,53.775,53.425000000000004,56.6,54.53333333333333,58.025,52.080000000000005
1027.00,53.525000000000006,53.2,56.574999999999996,54.20000000000001,57.875,52.0
1028.00,53.47500000000001,53.0,56.525,54.13333333333333,57.825,51.92
1029.00,53.375,53.0,56.375,54.06666666666666,57.7,51.82000000000001
1030.00,53.325,52.974999999999994,56.3,54.0,57.675000000000004,51.7
1031.00,53.275000000000006,52.95,56.425000000000004,54.0,57.6,51.620000000000005
1032.00,53.275000000000006,52.925,56.425000000000004,54.0,57.6,51.58
1033.00,53.225,52.9,56.3,53.93333333333333,57.39999999999999,51.339999999999996
1034.00,53.025,52.475,56.22500000000001,53.699999999999996,57.275,51.3
1035.00,52.975,52.425,56.1,53.666666666666664,57.25,51.239999999999995
1036.00,52.95,52.425,55.949999999999996,53.53333333333333,57.1,51.2
1037.00,52.825,52.375,55.849999999999994,53.1,57.075,51.019999999999996
1038.00,52.625,52.175000000000004,55.525000000000006,52.833333333333336,56.925,50.980000000000004
1039.00,52.475,52.025,55.45,52.73333333333333,56.824999999999996,50.92
1040.00,52.05,51.949999999999996,55.074999999999996,52.53333333333333,56.474999999999994,50.54
1041.00,51.875,51.699999999999996,55.0,52.400000000000006,56.449999999999996,50.49999999999999
1042.00,51.7,51.575,54.9,52.23333333333333,56.300000000000004,50.459999999999994
1043.00,51.5,51.50000000000001,54.875,52.23333333333333,56.199999999999996,50.4
1044.00,51.400000000000006,51.349999999999994,54.85,52.166666666666664,56.099999999999994,50.38000000000001
1045.00,51.400000000000006,51.325,54.800000000000004,52.13333333333333,56.075,50.3
1046.00,51.4,51.325,54.675,52.13333333333333,55.85,50.220000000000006
1047.00,51.35,51.300000000000004,54.675,52.1,55.775000000000006,50.18
1048.00,51.25,51.199999999999996,54.575,52.06666666666666,55.75,50.12
1049.00,51.199999999999996,51.125,54.449999999999996,52.0,55.85,50.14
1050.00,51.15,51.150000000000006,54.349999999999994,51.866666666666674,55.85,50.04
1051.00,51.175000000000004,51.099999999999994,54.325,51.833333333333336,55.849999999999994,50.02
